Localidad;Departamento;Provincia;Latitud;Longitud;Estado
1° de Mayo;Cainguas;Misiones;-27,16917;-55,027087;Conectado
2 de Mayo _Nucleo 1;Cainguas;Misiones;-27,021666;-54,687641;Conectado
2 de Mayo _Nucleo 2;Cainguas;Misiones;-27,02955696;-54,6641209;Conectado
2 de Mayo _Nucleo 3;Cainguas;Misiones;-27,01233333;-54,60730556;Conectado
20 de Septiembre;Nogoya;Entre Rios;-32,3907222;-59,6615;Conectado
25 de Mayo;Puelen;La Pampa;-37,77376111;-67,72372222;Conectado
25 de Mayo..;25 de Mayo;Buenos Aires;-35,44298056;-60,17478889;Conectado
25 de Mayo..;San Rafael;Mendoza;-34,58383333;-68,53869444;Conectado
9 de Julio;9 de Julio;San Juan;-31,667631;-68,387689;Conectado
9 de Julio..;9 de Julio;Buenos Aires;-35,44068889;-60,8725;Conectado
Aaron Castellanos;General Lopez;Santa Fe;-34,33095278;-62,37058611;Conectado
Abasto Silica;La Plata;Buenos Aires;-34,966463;-58,162949;Conectado
Abra Grande;Banda;Santiago del Estero;-27,29072222;-64,38000278;Conectado
Abra Pampa;Cochinoca;Jujuy;-22,724283;-65,688892;Conectado
Acevedo;Pergamino;Buenos Aires;-33,75574167;-60,43588889;Conectado
Acheral;Monteros;Tucuman;-27,12083333;-65,46833333;Conectado
Adelia Maria;Rio Cuarto;Cordoba;-33,633258;-64,012922;Conectado
Aerolito;Moreno;Santiago del Estero;-27,23277778;-62,37916667;Conectado
Aguada Cecilio;Valcheta;Rio Negro;-40,84866944;-65,84260556;Conectado
Aguada de Guerra;25 de Mayo;Rio Negro;-41,06897222;-68,38026667;Conectado
Aguaray;Gral.J. de San Martin;Salta;-22,23920168;-63,72743385;Conectado
Aguas Blancas;Oran;Salta;-22,73420833;-64,35390833;Conectado
Aguilares;Rio Chico;Tucuman;-27,42501667;-65,604125;Conectado
Agustin Roca;Junin;Buenos Aires;-34,508096;-60,871035;Conectado
Agustina;Junin;Buenos Aires;-34,460904;-61,064061;Conectado
Aimogasta;Arauco;La Rioja;-28,56672778;-66,798025;Conectado
Alberdi Viejo;Leandro N. Alem;Buenos Aires;-34,44194444;-61,84444444;Conectado
Alcaraz _Pueblo Arrua;La Paz;Entre Rios;-31,4546389;-59,59380556;Conectado
Alcira Gigena;Rio Cuarto;Cordoba;-32,7538474;-64,34025712;Conectado
Aldea Asuncion;Gualeguay;Entre Rios;-32,8293083;-59,22663333;Conectado
Aldea Brasilera;Diamante;Entre Rios;-31,89194444;-60,58544444;Conectado
Aldea Maria Luisa;Parana;Entre Rios;-31,88480103;-60,41149878;Conectado
Aldea Protestante;Diamante;Entre Rios;-32,02838889;-60,56577778;Conectado
Aldea Salto;Diamante;Entre Rios;-31,92641667;-60,54625;Conectado
Aldea San Antonio;Gualeguaychu;Entre Rios;-32,624134;-58,70305;Conectado
Aldea San Francisco;Diamante;Entre Rios;-31,96191667;-60,63581389;Conectado
Aldea San Isidro;Federal;Entre Rios;-30,9728611;-58,99875;Conectado
Aldea San Juan;Gualeguaychu;Entre Rios;-32,6975;-58,76741667;Conectado
Aldea San Rafael;Parana;Entre Rios;-31,95757778;-60,25404167;Conectado
Aldea Santa Maria;Parana;Entre Rios;-31,610125;-60,00409722;Conectado
Aldea Santa Rosa;Parana;Entre Rios;-32,01350556;-60,24024167;Conectado
Aldea Spatzenkutter;Diamante;Entre Rios;-31,94675833;-60,58180278;Conectado
Aldea Valle Maria;Diamante;Entre Rios;-31,98661389;-60,58496944;Conectado
Alfredo Demarchi _Est F Quiroga;9 de Julio;Buenos Aires;-35,29379722;-61,40713333;Conectado
Algarrobo del Aguila;Chical Co;La Pampa;-36,39905;-67,14587778;Conectado
Alhuampa;Moreno;Santiago del Estero;-27,12833333;-62,54777778;Conectado
Almafuerte.;Tercero Arriba;Cordoba;-32,19078889;-64,26303611;Conectado
Alpasinche;San Blas de Los Sauces;La Rioja;-28,31984167;-67,0532;Conectado
Altamirano Sur;Tala;Entre Rios;-32,095295;-59,1749;Conectado
Alto Rio Senguer;Rio Senguer;Chubut;-45,036475;-70,812069;Conectado
Alto Verde;Chicligasta;Tucuman;-27,37726944;-65,60968056;Conectado
Alvear;Rosario;Santa Fe;-33,06145847;-60,61597656;Conectado
Amadores;Paclin;Catamarca;-28,261783;-65,637833;Conectado
Amaicha del Valle;Tafi del Valle;Tucuman;-26,59608611;-65,91938056;Conectado
Amenabar;General Lopez;Santa Fe;-34,13546944;-62,41722222;Conectado
America;Rivadavia;Buenos Aires;-35,494459;-62,970023;Conectado
Angastaco;San Carlos;Salta;-25,692875;-66,16695278;Conectado
Angulos;Famatina;La Rioja;-28,655415;-67,650033;Conectado
Animana;San Carlos;Salta;-25,967294;-65,947442;Conectado
Antaje;Banda;Santiago del Estero;-27,6245;-64,25322222;Conectado
Antelo;Victoria;Entre Rios;-32,533375;-60,03477778;Conectado
Añatuya;General Taboada;Santiago del Estero;-28,4642448;-62,83943156;Conectado
Aranguren;Nogoya;Entre Rios;-32,24448611;-60,155875;Conectado
Arbilla;Rosario;Santa Fe;-33,103814;-60,703158;Conectado
Arcadia;Chicligasta;Tucuman;-27,30694848;-65,57606749;Conectado
Ardiles;Banda;Santiago del Estero;-27,41264167;-64,49995833;Conectado
Argerich;Villarino;Buenos Aires;-38,77061;-62,601599;Conectado
Ariel;Azul;Buenos Aires;-36,53180278;-59,92035833;Conectado
Aristobulo del Valle;Cainguas;Misiones;-27,10326667;-54,89213333;Conectado
Armstrong;Belgrano;Santa Fe;-32,77441605;-61,61182415;Conectado
Arocena;San Jeronimo;Santa Fe;-32,07926111;-60,97875556;Conectado
Arraga;;Santiago del Estero;-28,04970833;-64,22378056;Conectado
Arrayanal;San Pedro;Jujuy;-24,17766667;-64,84009444;Conectado
Arrecifes ;Arrecifes;Buenos Aires;-34,06392883;-60,07180956;Conectado
Arribeños;General Arenales;Buenos Aires;-34,208346;-61,35876;Conectado
Arroyito;San Justo;Cordoba;-31,415964;-63,044611;Conectado
Arroyito.;Confluencia;Neuquen;-39,07191944;-68,56725278;Conectado
Arroyo Corto;Saavedra;Buenos Aires;-37,51449676;-62,31076809;Conectado
Arroyo de La Cruz;Exhaltacion de la Cruz;Buenos Aires;-34,34013645;-59,11324909;Conectado
